ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes,spawn,crash_sector
1,1,87,-726.02,-726.02,0.999,0.0,1,87,1,"(1.0,-1.0)",front
2,1,87,-729.86,-727.94,0.998,0.0,1,174,2,"(1.0,-1.0)",front
3,1,218,-3.32,-486.4,0.997,0.0,1,392,3,"(-2.9,-2.0)",front
4,1,87,-720.87,-545.02,0.996,0.0,1,479,4,"(1.0,-1.0)",front
5,1,218,0.26,-435.96,0.995,0.0,1,697,5,"(-2.9,-2.0)",front
6,1,216,-8.06,-364.64,0.994,0.0,1,913,6,"(-2.9,-2.0)",front
7,1,87,-727.43,-416.47,0.993,0.0,1,1000,7,"(1.0,-1.0)",front
8,1,87,-726.63,-455.24,0.992,0.0,1,1087,8,"(1.0,-1.0)",front
9,1,87,-725.04,-485.22,0.991,0.0,1,1174,9,"(1.0,-1.0)",front
10,1,87,-726.66,-509.36,0.99,0.0,1,1261,10,"(1.0,-1.0)",front
11,1,87,-726.13,-529.07,0.9891,0.0,1,1348,11,"(1.0,-1.0)",front
12,1,87,-734.68,-546.2,0.9881,0.0,1,1435,12,"(1.0,-1.0)",front
13,1,87,-727.18,-560.12,0.9871,0.0,1,1522,13,"(1.0,-1.0)",front
14,1,87,-728.03,-572.12,0.9861,0.0,1,1609,14,"(1.0,-1.0)",front
15,1,217,-9.31,-534.6,0.9851,0.0,1,1826,15,"(-2.9,-2.0)",front
16,1,87,-721.42,-546.27,0.9841,0.0,1,1913,16,"(1.0,-1.0)",front
17,1,217,6.67,-513.75,0.9831,0.0,1,2130,17,"(-2.9,-2.0)",front
18,1,87,-729.22,-525.72,0.9822,0.0,1,2217,18,"(1.0,-1.0)",front
19,1,217,-18.61,-499.03,0.9812,0.0,1,2434,19,"(-2.9,-2.0)",front
20,1,217,-16.43,-474.9,0.9802,0.0,1,2651,20,"(-2.9,-2.0)",front
21,1,217,-7.29,-452.63,0.9792,0.0,1,2868,21,"(-2.9,-2.0)",front
22,1,217,-30.22,-433.43,0.9782,0.0,1,3085,22,"(-2.9,-2.0)",front
23,1,87,-722.06,-445.98,0.9773,0.0,1,3172,23,"(1.0,-1.0)",front
24,1,87,-729.56,-457.8,0.9763,0.0,1,3259,24,"(1.0,-1.0)",front
25,1,87,-726.54,-468.55,0.9753,0.0,1,3346,25,"(1.0,-1.0)",front
26,1,87,-729.89,-478.6,0.9743,0.0,1,3433,26,"(1.0,-1.0)",front
27,1,217,-13.76,-461.38,0.9733,0.0,1,3650,27,"(-2.9,-2.0)",front
28,1,217,3.31,-444.79,0.9724,0.0,1,3867,28,"(-2.9,-2.0)",front
29,1,217,-8.51,-429.74,0.9714,0.0,1,4084,29,"(-2.9,-2.0)",front
30,1,87,-726.0,-439.62,0.9704,0.0,1,4171,30,"(1.0,-1.0)",front
31,1,217,-5.37,-425.61,0.9695,0.0,1,4388,31,"(-2.9,-2.0)",front
32,1,217,-8.56,-412.58,0.9685,0.0,1,4605,32,"(-2.9,-2.0)",front
33,1,217,-13.13,-400.47,0.9675,0.0,1,4822,33,"(-2.9,-2.0)",front
34,1,218,-51.02,-390.19,0.9666,0.0,1,5040,34,"(-2.9,-2.0)",front
35,1,87,-726.85,-399.81,0.9656,0.0,1,5127,35,"(1.0,-1.0)",front
36,1,87,-729.6,-408.97,0.9646,0.0,1,5214,36,"(1.0,-1.0)",front
37,1,217,-18.24,-398.41,0.9637,0.0,1,5431,37,"(-2.9,-2.0)",front
38,1,87,-728.62,-407.1,0.9627,0.0,1,5518,38,"(1.0,-1.0)",front
39,1,217,-13.08,-397.0,0.9617,0.0,1,5735,39,"(-2.9,-2.0)",front
40,1,217,-24.4,-387.68,0.9608,0.0,1,5952,40,"(-2.9,-2.0)",front
41,1,217,-3.85,-378.32,0.9598,0.0,1,6169,41,"(-2.9,-2.0)",front
42,1,87,-727.36,-386.63,0.9588,0.0,1,6256,42,"(1.0,-1.0)",front
43,1,217,-14.04,-377.97,0.9579,0.0,1,6473,43,"(-2.9,-2.0)",front
44,1,217,6.75,-369.22,0.9569,0.0,1,6690,44,"(-2.9,-2.0)",front
45,1,218,1.67,-360.98,0.956,0.0,1,6908,45,"(-2.9,-2.0)",front
46,1,87,-730.72,-369.02,0.955,0.0,1,6995,46,"(1.0,-1.0)",front
47,1,217,-11.57,-361.41,0.9541,0.0,1,7212,47,"(-2.9,-2.0)",front
48,1,87,-729.83,-369.09,0.9531,0.0,1,7299,48,"(1.0,-1.0)",front
49,1,87,-732.33,-376.5,0.9522,0.0,1,7386,49,"(1.0,-1.0)",front
50,1,217,-20.61,-369.39,0.9512,0.0,1,7603,50,"(-2.9,-2.0)",front
51,1,87,-733.22,-376.52,0.9503,0.0,1,7690,51,"(1.0,-1.0)",front
52,1,87,-730.17,-383.32,0.9493,0.0,1,7777,52,"(1.0,-1.0)",front
53,1,217,-11.9,-376.31,0.9484,0.0,1,7994,53,"(-2.9,-2.0)",front
54,1,217,-4.75,-369.43,0.9474,0.0,1,8211,54,"(-2.9,-2.0)",front
55,1,87,-730.06,-375.99,0.9465,0.0,1,8298,55,"(1.0,-1.0)",front
56,1,87,-722.37,-382.17,0.9455,0.0,1,8385,56,"(1.0,-1.0)",front
