ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes,spawn
1,1,87,-1252.2,-1252.2,0.999,0.0,1,87,1,"(1.0,-1.0)"
2,1,216,-1097.55,-1174.88,0.998,0.0,1,303,2,"(-2.9,-2.0)"
3,1,217,-997.81,-1115.86,0.997,0.0,1,520,3,"(-2.9,-2.0)"
4,1,216,-1054.61,-1100.54,0.996,0.0,1,736,4,"(-2.9,-2.0)"
5,1,87,-1261.35,-1132.71,0.995,0.0,1,823,5,"(1.0,-1.0)"
6,1,217,-1051.43,-1119.16,0.994,0.0,1,1040,6,"(-2.9,-2.0)"
7,1,216,-1075.02,-1112.85,0.993,0.0,1,1256,7,"(-2.9,-2.0)"
8,1,87,-1256.11,-1130.76,0.992,0.0,1,1343,8,"(1.0,-1.0)"
9,1,217,-989.61,-1115.08,0.991,0.0,1,1560,9,"(-2.9,-2.0)"
10,1,216,-1022.93,-1105.86,0.99,0.0,1,1776,10,"(-2.9,-2.0)"
11,1,86,-1263.04,-1120.15,0.9891,0.0,1,1862,11,"(1.0,-1.0)"
12,1,87,-1259.88,-1131.8,0.9881,0.0,1,1949,12,"(1.0,-1.0)"
13,1,217,-1072.05,-1127.2,0.9871,0.0,1,2166,13,"(-2.9,-2.0)"
14,1,217,-1006.36,-1118.57,0.9861,0.0,1,2383,14,"(-2.9,-2.0)"
15,1,217,-992.74,-1110.18,0.9851,0.0,1,2600,15,"(-2.9,-2.0)"
16,1,87,-1249.95,-1118.91,0.9841,0.0,1,2687,16,"(1.0,-1.0)"
17,1,86,-1251.43,-1126.71,0.9831,0.0,1,2773,17,"(1.0,-1.0)"
18,1,87,-1270.81,-1134.72,0.9822,0.0,1,2860,18,"(1.0,-1.0)"
19,1,217,-956.67,-1125.34,0.9812,0.0,1,3077,19,"(-2.9,-2.0)"
20,1,86,-1254.52,-1131.8,0.9802,0.0,1,3163,20,"(1.0,-1.0)"
21,1,216,-1025.74,-1126.75,0.9792,0.0,1,3379,21,"(-2.9,-2.0)"
22,1,87,-1261.89,-1132.9,0.9782,0.0,1,3466,22,"(1.0,-1.0)"
23,1,216,-1017.97,-1127.9,0.9773,0.0,1,3682,23,"(-2.9,-2.0)"
24,1,88,-1275.24,-1134.04,0.9763,0.0,1,3770,24,"(1.0,-1.0)"
25,1,216,-1050.75,-1130.71,0.9753,0.0,1,3986,25,"(-2.9,-2.0)"
26,1,217,-1048.82,-1127.56,0.9743,0.0,1,4203,26,"(-2.9,-2.0)"
27,1,86,-1255.35,-1132.29,0.9733,0.0,1,4289,27,"(1.0,-1.0)"
28,1,86,-1244.51,-1136.3,0.9724,0.0,1,4375,28,"(1.0,-1.0)"
29,1,216,-1076.12,-1134.22,0.9714,0.0,1,4591,29,"(-2.9,-2.0)"
30,1,217,-1090.87,-1132.78,0.9704,0.0,1,4808,30,"(-2.9,-2.0)"
31,1,217,-1150.49,-1133.35,0.9695,0.0,1,5025,31,"(-2.9,-2.0)"
32,1,217,-1008.99,-1129.46,0.9685,0.0,1,5242,32,"(-2.9,-2.0)"
33,1,87,-1245.33,-1132.97,0.9675,0.0,1,5329,33,"(1.0,-1.0)"
34,1,217,-1118.16,-1132.54,0.9666,0.0,1,5546,34,"(-2.9,-2.0)"
35,1,87,-1253.25,-1135.99,0.9656,0.0,1,5633,35,"(1.0,-1.0)"
36,1,87,-1248.46,-1139.11,0.9646,0.0,1,5720,36,"(1.0,-1.0)"
37,1,87,-1254.82,-1142.24,0.9637,0.0,1,5807,37,"(1.0,-1.0)"
38,1,217,-1084.55,-1140.72,0.9627,0.0,1,6024,38,"(-2.9,-2.0)"
39,1,217,-1127.26,-1140.38,0.9617,0.0,1,6241,39,"(-2.9,-2.0)"
40,1,87,-1247.22,-1143.05,0.9608,0.0,1,6328,40,"(1.0,-1.0)"
41,1,216,-995.21,-1139.44,0.9598,0.0,1,6544,41,"(-2.9,-2.0)"
42,1,216,-944.26,-1134.79,0.9588,0.0,1,6760,42,"(-2.9,-2.0)"
43,1,86,-1237.18,-1137.17,0.9579,0.0,1,6846,43,"(1.0,-1.0)"
44,1,87,-1253.66,-1139.82,0.9569,0.0,1,6933,44,"(1.0,-1.0)"
45,1,216,-1043.28,-1137.68,0.956,0.0,1,7149,45,"(-2.9,-2.0)"
46,1,87,-1265.88,-1140.46,0.955,0.0,1,7236,46,"(1.0,-1.0)"
47,1,217,-982.42,-1137.1,0.9541,0.0,1,7453,47,"(-2.9,-2.0)"
48,1,218,-1059.4,-1135.48,0.9531,0.0,1,7671,48,"(-2.9,-2.0)"
49,1,217,-1030.64,-1133.34,0.9522,0.0,1,7888,49,"(-2.9,-2.0)"
