ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
1,2,121,-400.0,-400.0,0.999,286.083218,1,121,1
2,2,197,-20.0,-210.0,0.998,4620.752379,1,318,2
3,2,99,-510.0,-310.0,0.997,5074.108673,1,417,3
4,2,196,-25.0,-238.75,0.996,5521.934616,1,613,4
5,2,61,-700.0,-331.0,0.995,6682.942006,1,674,5
6,2,53,-740.0,-399.17,0.994,7098.466476,1,727,6
7,2,89,-560.0,-422.14,0.993,8275.251732,1,816,7
8,2,63,-690.0,-455.62,0.992,10939.018447,1,879,8
9,2,196,-25.0,-407.78,0.991,6404.229258,1,1075,9
10,2,53,-740.0,-441.0,0.99,3873.036588,1,1128,10
11,2,273,360.0,-368.18,0.9891,7919.098156,1,1401,11
12,2,198,-15.0,-338.75,0.9881,8524.859197,1,1599,12
13,2,273,360.0,-285.0,0.9871,7513.290591,1,1872,13
14,2,195,-30.0,-266.79,0.9861,6239.58699,1,2067,14
15,2,53,-740.0,-298.33,0.9851,7493.139177,1,2120,15
16,2,110,-455.0,-308.12,0.9841,7518.289383,1,2230,16
17,2,85,-580.0,-324.12,0.9831,4869.610996,1,2315,17
18,2,63,-690.0,-344.44,0.9822,6831.553016,1,2378,18
19,2,60,-705.0,-363.42,0.9812,7975.635697,1,2438,19
20,2,194,-35.0,-347.0,0.9802,7893.990995,1,2632,20
21,2,156,-225.0,-341.19,0.9792,5717.498274,1,2788,21
22,2,68,-665.0,-355.91,0.9782,6104.53734,1,2856,22
23,2,89,-560.0,-364.78,0.9773,7710.959063,1,2945,23
24,2,53,-740.0,-380.42,0.9763,5127.448069,1,2998,24
25,2,88,-565.0,-387.8,0.9753,9826.248534,1,3086,25
26,2,63,-690.0,-399.42,0.9743,7654.367009,1,3149,26
27,2,60,-705.0,-410.74,0.9733,8315.142151,1,3209,27
28,2,52,-745.0,-422.68,0.9724,11418.893172,1,3261,28
29,2,99,-510.0,-425.69,0.9714,9068.42115,1,3360,29
30,2,131,-350.0,-423.17,0.9704,7111.730759,1,3491,30
31,2,157,-220.0,-416.61,0.9695,9826.16557,1,3648,31
32,2,53,-740.0,-426.72,0.9685,8474.557076,1,3701,32
33,2,112,-445.0,-427.27,0.9675,6164.244365,1,3813,33
34,2,197,-20.0,-415.29,0.9666,10010.909179,1,4010,34
35,2,131,-350.0,-413.43,0.9656,8276.778945,1,4141,35
36,2,111,-450.0,-414.44,0.9646,7279.083022,1,4252,36
37,2,99,-510.0,-417.03,0.9637,8497.811732,1,4351,37
38,2,195,-30.0,-406.84,0.9627,7476.123178,1,4546,38
39,2,162,-195.0,-401.41,0.9617,9280.220049,1,4708,39
40,2,99,-510.0,-404.12,0.9608,9799.009375,1,4807,40
41,2,156,-225.0,-399.76,0.9598,7451.352496,1,4963,41
42,2,112,-445.0,-400.83,0.9588,7562.802588,1,5075,42
43,2,197,-20.0,-391.98,0.9579,8511.87064,1,5272,43
44,2,53,-740.0,-399.89,0.9569,7371.13247,1,5325,44
45,2,156,-225.0,-396.0,0.956,10321.89311,1,5481,45
46,2,64,-685.0,-402.28,0.955,9129.757226,1,5545,46
47,2,39,-810.0,-410.96,0.9541,10846.118485,1,5584,47
