ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes,spawn
1,2,70,-655.0,-655.0,0.999,0.0,1,70,1,"(-4.5,1.5)"
2,2,281,400.0,-127.5,0.998,0.0,1,351,2,"(-1.5,-4.0)"
3,2,68,-665.0,-306.67,0.997,0.0,1,419,3,"(3.5,0.5)"
4,2,148,-265.0,-296.25,0.996,0.0,1,567,4,"(-4.5,-3.5)"
5,2,94,-535.0,-344.0,0.995,0.0,1,661,5,"(0.5,-2.0)"
6,2,177,-120.0,-306.67,0.994,0.0,1,838,6,"(6.0,6.0)"
7,2,68,-665.0,-357.86,0.993,0.0,1,906,7,"(3.5,0.5)"
8,2,56,-725.0,-403.75,0.992,0.0,1,962,8,"(1.5,0.0)"
9,2,68,-665.0,-432.78,0.991,0.0,1,1030,9,"(3.5,0.5)"
10,2,94,-535.0,-443.0,0.99,0.0,1,1124,10,"(0.5,-2.0)"
11,2,53,-740.0,-470.0,0.9891,0.0,1,1177,11,"(-4.5,1.5)"
12,2,281,400.0,-397.5,0.9881,0.0,1,1458,12,"(-1.5,-4.0)"
13,2,51,-750.0,-424.62,0.9871,0.0,1,1509,13,"(-4.5,1.5)"
14,2,68,-665.0,-441.79,0.9861,0.0,1,1577,14,"(3.5,0.5)"
15,2,56,-725.0,-460.67,0.9851,0.0,1,1633,15,"(1.5,0.0)"
16,2,107,-470.0,-461.25,0.9841,0.0,1,1740,16,"(-6.0,0.0)"
17,2,28,-865.0,-485.0,0.9831,0.0,1,1768,17,"(0.0,3.5)"
18,2,107,-470.0,-484.17,0.9822,0.0,1,1875,18,"(-6.0,0.0)"
19,2,148,-265.0,-472.63,0.9812,0.0,1,2023,19,"(-4.5,-3.5)"
20,2,28,-865.0,-492.25,0.9802,0.0,1,2051,20,"(0.0,3.5)"
21,2,56,-725.0,-503.33,0.9792,0.0,1,2107,21,"(1.5,0.0)"
22,2,107,-470.0,-501.82,0.9782,0.0,1,2214,22,"(-6.0,0.0)"
23,2,220,95.0,-475.87,0.9773,0.0,1,2434,23,"(-7.0,5.0)"
24,2,28,-865.0,-492.08,0.9763,0.0,1,2462,24,"(0.0,3.5)"
25,2,281,400.0,-456.4,0.9753,0.0,1,2743,25,"(-1.5,-4.0)"
26,2,180,-105.0,-442.88,0.9743,0.0,1,2923,26,"(-4.5,1.5)"
27,2,285,420.0,-410.93,0.9733,0.0,1,3208,27,"(-1.5,-4.0)"
28,2,148,-265.0,-405.71,0.9724,0.0,1,3356,28,"(-4.5,-3.5)"
29,2,224,115.0,-387.76,0.9714,0.0,1,3580,29,"(-7.0,5.0)"
30,2,66,-675.0,-397.33,0.9704,0.0,1,3646,30,"(-4.5,1.5)"
31,2,68,-665.0,-405.97,0.9695,0.0,1,3714,31,"(3.5,0.5)"
32,2,28,-865.0,-420.31,0.9685,0.0,1,3742,32,"(0.0,3.5)"
33,2,94,-535.0,-423.79,0.9675,0.0,1,3836,33,"(0.5,-2.0)"
34,2,160,-205.0,-417.35,0.9666,0.0,1,3996,34,"(-4.5,1.5)"
35,2,282,405.0,-393.86,0.9656,0.0,1,4278,35,"(-1.5,-4.0)"
36,2,56,-725.0,-403.06,0.9646,0.0,1,4334,36,"(1.5,0.0)"
37,2,282,405.0,-381.22,0.9637,0.0,1,4616,37,"(-1.5,-4.0)"
38,2,94,-535.0,-385.26,0.9627,0.0,1,4710,38,"(-4.5,1.5)"
39,2,148,-265.0,-382.18,0.9617,0.0,1,4858,39,"(-4.5,-3.5)"
40,2,56,-725.0,-390.75,0.9608,0.0,1,4914,40,"(1.5,0.0)"
41,2,280,395.0,-371.59,0.9598,0.0,1,5194,41,"(-1.5,-4.0)"
42,2,107,-470.0,-373.93,0.9588,0.0,1,5301,42,"(-6.0,0.0)"
43,2,28,-865.0,-385.35,0.9579,0.0,1,5329,43,"(0.0,3.5)"
44,2,107,-470.0,-387.27,0.9569,0.0,1,5436,44,"(-6.0,0.0)"
45,2,148,-265.0,-384.56,0.956,0.0,1,5584,45,"(-4.5,-3.5)"
46,2,56,-725.0,-391.96,0.955,0.0,1,5640,46,"(1.5,0.0)"
47,2,68,-665.0,-397.77,0.9541,0.0,1,5708,47,"(3.5,0.5)"
48,2,107,-470.0,-399.27,0.9531,0.0,1,5815,48,"(-6.0,0.0)"
49,2,94,-535.0,-402.04,0.9522,0.0,1,5909,49,"(0.5,-2.0)"
50,2,94,-535.0,-404.7,0.9512,0.0,1,6003,50,"(0.5,-2.0)"
51,2,28,-865.0,-413.73,0.9503,0.0,1,6031,51,"(0.0,3.5)"
52,2,148,-265.0,-410.87,0.9493,0.0,1,6179,52,"(-4.5,-3.5)"
53,2,148,-265.0,-408.11,0.9484,0.0,1,6327,53,"(-4.5,-3.5)"
54,2,45,-780.0,-415.0,0.9474,0.0,1,6372,54,"(-4.5,1.5)"
55,2,222,105.0,-405.55,0.9465,0.0,1,6594,55,"(-7.0,5.0)"
56,2,280,395.0,-391.25,0.9455,0.0,1,6874,56,"(-1.5,-4.0)"
57,2,68,-665.0,-396.05,0.9446,0.0,1,6942,57,"(3.5,0.5)"
58,2,166,-175.0,-392.24,0.9436,0.0,1,7108,58,"(-4.5,1.5)"
59,2,94,-535.0,-394.66,0.9427,0.0,1,7202,59,"(0.5,-2.0)"
60,2,94,-535.0,-397.0,0.9417,0.0,1,7296,60,"(0.5,-2.0)"
61,2,148,-265.0,-394.84,0.9408,0.0,1,7444,61,"(-4.5,-3.5)"
62,2,107,-470.0,-396.05,0.9399,0.0,1,7551,62,"(-6.0,0.0)"
63,2,68,-665.0,-400.32,0.9389,0.0,1,7619,63,"(3.5,0.5)"
64,2,107,-470.0,-401.41,0.938,0.0,1,7726,64,"(-6.0,0.0)"
65,2,221,100.0,-393.69,0.937,0.0,1,7947,65,"(-7.0,5.0)"
66,2,68,-665.0,-397.8,0.9361,0.0,1,8015,66,"(3.5,0.5)"
67,2,148,-265.0,-395.82,0.9352,0.0,1,8163,67,"(-4.5,-3.5)"
68,2,281,400.0,-384.12,0.9342,0.0,1,8444,68,"(-1.5,-4.0)"
69,2,68,-665.0,-388.19,0.9333,0.0,1,8512,69,"(3.5,0.5)"
70,2,94,-535.0,-390.29,0.9324,0.0,1,8606,70,"(0.5,-2.0)"
71,2,55,-730.0,-395.07,0.9314,0.0,1,8661,71,"(1.5,0.0)"
72,2,28,-865.0,-401.6,0.9305,0.0,1,8689,72,"(0.0,3.5)"
73,2,41,-800.0,-407.05,0.9296,0.0,1,8730,73,"(-4.5,1.5)"
74,2,28,-865.0,-413.24,0.9286,0.0,1,8758,74,"(0.0,3.5)"
75,2,27,-870.0,-419.33,0.9277,0.0,1,8785,75,"(0.0,3.5)"
76,2,148,-265.0,-417.3,0.9268,0.0,1,8933,76,"(-4.5,-3.5)"
77,2,282,405.0,-406.62,0.9259,0.0,1,9215,77,"(-1.5,-4.0)"
78,2,55,-730.0,-410.77,0.9249,0.0,1,9270,78,"(1.5,0.0)"
79,2,173,-140.0,-407.34,0.924,0.0,1,9443,79,"(6.0,6.0)"
80,2,280,395.0,-397.31,0.9231,0.0,1,9723,80,"(-1.5,-4.0)"
81,2,94,-535.0,-399.01,0.9222,0.0,1,9817,81,"(0.5,-2.0)"
82,2,28,-865.0,-404.7,0.9212,0.0,1,9845,82,"(0.0,3.5)"
83,2,68,-665.0,-407.83,0.9203,0.0,1,9913,83,"(3.5,0.5)"
84,2,106,-475.0,-408.63,0.9194,7056.717764,1,10019,84,"(-6.0,0.0)"
85,2,28,-865.0,-414.0,0.9185,9511.805344,1,10047,85,"(0.0,3.5)"
86,2,56,-725.0,-417.62,0.9176,10071.75357,1,10103,86,"(1.5,0.0)"
87,2,56,-725.0,-421.15,0.9166,7287.879965,1,10159,87,"(1.5,0.0)"
88,2,176,-125.0,-417.78,0.9157,7762.14948,1,10335,88,"(6.0,6.0)"
89,2,175,-130.0,-414.55,0.9148,9864.933121,1,10510,89,"(6.0,6.0)"
90,2,28,-865.0,-419.56,0.9139,11204.000807,1,10538,90,"(0.0,3.5)"
