ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes,spawn
1,2,69,-660.0,-660.0,0.999,0.0,1,69,1,"(-4.5,1.5)"
2,2,94,-535.0,-597.5,0.998,0.0,1,163,2,"(0.5,-2.0)"
3,2,55,-730.0,-641.67,0.997,0.0,1,218,3,"(1.5,0.0)"
4,2,27,-870.0,-698.75,0.996,0.0,1,245,4,"(0.0,3.5)"
5,2,222,105.0,-538.0,0.995,0.0,1,467,5,"(-7.0,5.0)"
6,2,148,-265.0,-492.5,0.994,0.0,1,615,6,"(-4.5,-3.5)"
7,2,68,-665.0,-517.14,0.993,0.0,1,683,7,"(-4.5,1.5)"
8,2,94,-535.0,-519.38,0.992,0.0,1,777,8,"(0.5,-2.0)"
9,2,55,-730.0,-542.78,0.991,0.0,1,832,9,"(1.5,0.0)"
10,2,28,-865.0,-575.0,0.99,0.0,1,860,10,"(0.0,3.5)"
11,2,27,-870.0,-601.82,0.9891,0.0,1,887,11,"(0.0,3.5)"
12,2,39,-810.0,-619.17,0.9881,0.0,1,926,12,"(-4.5,1.5)"
13,2,67,-670.0,-623.08,0.9871,0.0,1,993,13,"(3.5,0.5)"
14,2,280,395.0,-550.36,0.9861,0.0,1,1273,14,"(-1.5,-4.0)"
15,2,67,-670.0,-558.33,0.9851,0.0,1,1340,15,"(3.5,0.5)"
16,2,147,-270.0,-540.31,0.9841,0.0,1,1487,16,"(-4.5,-3.5)"
17,2,223,110.0,-502.06,0.9831,0.0,1,1710,17,"(-7.0,5.0)"
18,2,28,-865.0,-522.22,0.9822,0.0,1,1738,18,"(0.0,3.5)"
19,2,177,-120.0,-501.05,0.9812,0.0,1,1915,19,"(6.0,6.0)"
20,2,55,-730.0,-512.5,0.9802,0.0,1,1970,20,"(1.5,0.0)"
21,2,67,-670.0,-520.0,0.9792,0.0,1,2037,21,"(3.5,0.5)"
22,2,106,-475.0,-517.95,0.9782,0.0,1,2143,22,"(-6.0,0.0)"
23,2,67,-670.0,-524.57,0.9773,0.0,1,2210,23,"(3.5,0.5)"
24,2,55,-730.0,-533.12,0.9763,0.0,1,2265,24,"(1.5,0.0)"
25,2,176,-125.0,-516.8,0.9753,0.0,1,2441,25,"(6.0,6.0)"
26,2,148,-265.0,-507.12,0.9743,0.0,1,2589,26,"(-4.5,-3.5)"
27,2,147,-270.0,-498.33,0.9733,0.0,1,2736,27,"(-4.5,-3.5)"
28,2,106,-475.0,-497.5,0.9724,0.0,1,2842,28,"(-6.0,0.0)"
29,2,45,-780.0,-507.24,0.9714,0.0,1,2887,29,"(-4.5,1.5)"
30,2,93,-540.0,-508.33,0.9704,0.0,1,2980,30,"(0.5,-2.0)"
31,2,67,-670.0,-513.55,0.9695,0.0,1,3047,31,"(3.5,0.5)"
32,2,28,-865.0,-524.53,0.9685,0.0,1,3075,32,"(0.0,3.5)"
33,2,56,-725.0,-530.61,0.9675,0.0,1,3131,33,"(1.5,0.0)"
34,2,53,-740.0,-536.76,0.9666,0.0,1,3184,34,"(1.5,0.0)"
35,2,103,-490.0,-535.43,0.9656,0.0,1,3287,35,"(-6.0,0.0)"
36,2,220,95.0,-517.92,0.9646,0.0,1,3507,36,"(-7.0,5.0)"
37,2,93,-540.0,-518.51,0.9637,0.0,1,3600,37,"(0.5,-2.0)"
38,2,27,-870.0,-527.76,0.9627,0.0,1,3627,38,"(0.0,3.5)"
39,2,28,-865.0,-536.41,0.9617,0.0,1,3655,39,"(0.0,3.5)"
40,2,55,-730.0,-541.25,0.9608,0.0,1,3710,40,"(1.5,0.0)"
41,2,28,-865.0,-549.15,0.9598,0.0,1,3738,41,"(0.0,3.5)"
42,2,27,-870.0,-556.79,0.9588,0.0,1,3765,42,"(0.0,3.5)"
43,2,281,400.0,-534.53,0.9579,0.0,1,4046,43,"(-1.5,-4.0)"
44,2,94,-535.0,-534.55,0.9569,0.0,1,4140,44,"(0.5,-2.0)"
45,2,280,395.0,-513.89,0.956,0.0,1,4420,45,"(-1.5,-4.0)"
46,2,222,105.0,-500.43,0.955,0.0,1,4642,46,"(-7.0,5.0)"
47,2,224,115.0,-487.34,0.9541,0.0,1,4866,47,"(-7.0,5.0)"
48,2,27,-870.0,-495.31,0.9531,0.0,1,4893,48,"(0.0,3.5)"
49,2,224,115.0,-482.86,0.9522,0.0,1,5117,49,"(-7.0,5.0)"
50,2,27,-870.0,-490.6,0.9512,0.0,1,5144,50,"(0.0,3.5)"
51,2,27,-870.0,-498.04,0.9503,0.0,1,5171,51,"(0.0,3.5)"
52,2,28,-865.0,-505.1,0.9493,0.0,1,5199,52,"(0.0,3.5)"
