ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes,spawn
1,2,69,-660.0,-660.0,0.999,0.0,1,69,1,"(-4.5,1.5)"
2,2,94,-535.0,-597.5,0.998,0.0,1,163,2,"(0.5,-2.0)"
3,2,55,-730.0,-641.67,0.997,0.0,1,218,3,"(1.5,0.0)"
4,2,27,-870.0,-698.75,0.996,0.0,1,245,4,"(0.0,3.5)"
5,2,221,100.0,-539.0,0.995,0.0,1,466,5,"(-7.0,5.0)"
6,2,281,400.0,-382.5,0.994,0.0,1,747,6,"(-1.5,-4.0)"
7,2,174,-135.0,-347.14,0.993,0.0,1,921,7,"(6.0,6.0)"
8,2,27,-870.0,-412.5,0.992,0.0,1,948,8,"(0.0,3.5)"
9,2,147,-270.0,-396.67,0.991,8323.10782,1,1095,9,"(-4.5,-3.5)"
10,2,45,-780.0,-435.0,0.99,8691.403257,1,1140,10,"(-4.5,1.5)"
11,2,283,410.0,-358.18,0.9891,8067.020849,1,1423,11,"(-1.5,-4.0)"
12,2,219,90.0,-320.83,0.9881,7039.402499,1,1642,12,"(-7.0,5.0)"
13,2,222,105.0,-288.08,0.9871,7679.187767,1,1864,13,"(-7.0,5.0)"
14,2,51,-750.0,-321.07,0.9861,7624.801645,1,1915,14,"(-4.5,1.5)"
15,2,55,-730.0,-348.33,0.9851,6623.18299,1,1970,15,"(1.5,0.0)"
16,2,27,-870.0,-380.94,0.9841,6647.578098,1,1997,16,"(0.0,3.5)"
17,2,221,100.0,-352.65,0.9831,6605.336696,1,2218,17,"(-7.0,5.0)"
18,2,280,395.0,-311.11,0.9822,6788.512561,1,2498,18,"(-1.5,-4.0)"
19,2,176,-125.0,-301.32,0.9812,6980.032227,1,2674,19,"(6.0,6.0)"
20,2,184,-85.0,-290.5,0.9802,6090.681507,1,2858,20,"(-4.5,1.5)"
21,2,68,-665.0,-308.33,0.9792,7809.716838,1,2926,21,"(3.5,0.5)"
22,2,94,-535.0,-318.64,0.9782,6409.443968,1,3020,22,"(0.5,-2.0)"
23,2,41,-800.0,-339.57,0.9773,5814.155605,1,3061,23,"(-4.5,1.5)"
24,2,55,-730.0,-355.83,0.9763,6399.892659,1,3116,24,"(1.5,0.0)"
25,2,69,-660.0,-368.0,0.9753,7811.644593,1,3185,25,"(-4.5,1.5)"
26,2,222,105.0,-349.81,0.9743,7844.233823,1,3407,26,"(-7.0,5.0)"
27,2,67,-670.0,-361.67,0.9733,4898.863191,1,3474,27,"(3.5,0.5)"
28,2,280,395.0,-334.64,0.9724,7751.017341,1,3754,28,"(-1.5,-4.0)"
29,2,175,-130.0,-327.59,0.9714,7461.547807,1,3929,29,"(6.0,6.0)"
30,2,28,-865.0,-345.5,0.9704,6929.618954,1,3957,30,"(0.0,3.5)"
31,2,173,-140.0,-338.87,0.9695,8126.974821,1,4130,31,"(6.0,6.0)"
32,2,178,-115.0,-331.88,0.9685,7919.490675,1,4308,32,"(6.0,6.0)"
33,2,106,-475.0,-336.21,0.9675,7332.272632,1,4414,33,"(-6.0,0.0)"
34,2,176,-125.0,-330.0,0.9666,6025.393791,1,4590,34,"(6.0,6.0)"
35,2,106,-475.0,-334.14,0.9656,7801.124446,1,4696,35,"(-6.0,0.0)"
36,2,27,-870.0,-349.03,0.9646,7065.784186,1,4723,36,"(0.0,3.5)"
37,2,55,-730.0,-359.32,0.9637,6120.913205,1,4778,37,"(1.5,0.0)"
38,2,94,-535.0,-363.95,0.9627,7204.345773,1,4872,38,"(0.5,-2.0)"
39,2,283,410.0,-344.1,0.9617,6327.00842,1,5155,39,"(-1.5,-4.0)"
40,2,223,110.0,-332.75,0.9608,6686.357096,1,5378,40,"(-7.0,5.0)"
41,2,28,-865.0,-345.73,0.9598,9839.364558,1,5406,41,"(0.0,3.5)"
42,2,55,-730.0,-354.88,0.9588,6115.186925,1,5461,42,"(1.5,0.0)"
43,2,49,-760.0,-364.3,0.9579,5861.614526,1,5510,43,"(-4.5,1.5)"
44,2,176,-125.0,-358.86,0.9569,6871.606541,1,5686,44,"(-4.5,1.5)"
45,2,67,-670.0,-365.78,0.956,6018.388156,1,5753,45,"(3.5,0.5)"
46,2,147,-270.0,-363.7,0.955,6996.596852,1,5900,46,"(-4.5,-3.5)"
47,2,220,95.0,-353.94,0.9541,6369.665316,1,6120,47,"(-7.0,5.0)"
48,2,174,-135.0,-349.38,0.9531,6482.952703,1,6294,48,"(6.0,6.0)"
49,2,175,-130.0,-344.9,0.9522,7349.456852,1,6469,49,"(6.0,6.0)"
50,2,174,-135.0,-340.7,0.9512,6722.940328,1,6643,50,"(6.0,6.0)"
