ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
1,1,325,-2205.86,-2205.86,0.995,62.605519,1,325,1
2,1,330,-2193.85,-2199.85,0.99,1552.577386,1,655,2
3,1,162,-2638.61,-2346.1,0.9851,2724.719872,1,817,3
4,1,227,-3525.36,-2640.92,0.9801,3326.179035,1,1044,4
5,1,61,-1713.77,-2455.49,0.9752,4154.251323,1,1105,5
6,1,326,-2565.88,-2473.89,0.9704,3372.869179,1,1431,6
7,1,328,-2073.01,-2416.62,0.9655,3188.491291,1,1759,7
8,1,61,-1762.73,-2334.88,0.9607,4118.13146,1,1820,8
9,1,327,-2040.74,-2302.2,0.9559,4771.42363,1,2147,9
10,1,327,-3160.56,-2388.04,0.9511,3489.968366,1,2474,10
11,1,332,-2491.55,-2397.45,0.9464,4371.485144,1,2806,11
12,1,327,-2149.57,-2376.79,0.9416,3189.61146,1,3133,12
13,1,340,-3752.87,-2482.64,0.9369,3190.336365,1,3473,13
14,1,206,-3049.74,-2523.15,0.9322,3585.025215,1,3679,14
15,1,335,-3178.14,-2566.82,0.9276,3231.077482,1,4014,15
16,1,176,-2770.76,-2579.56,0.9229,3097.190853,1,4190,16
17,1,328,-3348.4,-2624.79,0.9183,3448.224952,1,4518,17
18,1,328,-2095.49,-2595.38,0.9137,3369.89042,1,4846,18
19,1,330,-2423.69,-2586.35,0.9092,3484.698589,1,5176,19
20,1,331,-2174.26,-2565.74,0.9046,2979.563904,1,5507,20
21,1,333,-2844.67,-2579.02,0.9001,2305.217641,1,5840,21
22,1,331,-2616.18,-2580.71,0.8956,3073.387212,1,6171,22
23,1,331,-4324.33,-2656.52,0.8911,2420.567402,1,6502,23
24,1,334,-2926.19,-2667.76,0.8867,2849.937647,1,6836,24
25,1,36,-1336.34,-2614.5,0.8822,3352.495097,1,6872,25
26,1,329,-2249.55,-2600.47,0.8778,2978.505865,1,7201,26
27,1,328,-3370.93,-2629.0,0.8734,2712.576786,1,7529,27
28,1,326,-2442.86,-2622.35,0.8691,2589.022,1,7855,28
29,1,330,-2296.47,-2611.12,0.8647,2727.412962,1,8185,29
30,1,327,-2669.67,-2613.07,0.8604,2316.848976,1,8512,30
31,1,329,-2106.69,-2596.73,0.8561,2232.339361,1,8841,31
32,1,327,-2614.66,-2597.29,0.8518,2237.792196,1,9168,32
33,1,327,-2982.3,-2608.96,0.8475,2416.004184,1,9495,33
34,1,330,-2333.23,-2600.85,0.8433,2176.300021,1,9825,34
35,1,57,-1673.11,-2574.34,0.8391,1455.982543,1,9882,35
36,1,327,-2212.9,-2564.3,0.8349,2484.294909,1,10209,36
37,1,328,-3105.26,-2578.92,0.8307,2000.901248,1,10537,37
38,1,333,-3011.05,-2590.3,0.8266,1906.024488,1,10870,38
39,1,330,-2058.08,-2576.65,0.8224,2365.428013,1,11200,39
40,1,326,-2298.69,-2569.7,0.8183,2209.013067,1,11526,40
41,1,329,-2130.94,-2559.0,0.8142,2069.291959,1,11855,41
42,1,328,-2195.17,-2550.34,0.8102,1970.865625,1,12183,42
43,1,334,-3311.74,-2568.04,0.8061,1844.170009,1,12517,43
44,1,330,-2558.8,-2567.83,0.8021,1882.568726,1,12847,44
45,1,329,-2206.89,-2559.81,0.7981,1817.935829,1,13176,45
46,1,328,-2357.66,-2555.42,0.7941,1811.575918,1,13504,46
47,1,329,-2301.9,-2550.02,0.7901,1489.533559,1,13833,47
48,1,329,-2453.46,-2548.01,0.7862,1421.463654,1,14162,48
49,1,328,-2037.14,-2537.59,0.7822,1572.823728,1,14490,49
50,1,327,-2445.03,-2535.73,0.7783,1330.502745,1,14817,50
51,1,330,-2583.46,-2536.67,0.7744,1349.435343,1,15147,51
52,1,331,-2708.69,-2539.98,0.7705,1308.354703,1,15478,52
53,1,331,-2820.59,-2545.27,0.7667,1274.151462,1,15809,53
54,1,327,-2302.75,-2540.78,0.7629,1196.598551,1,16136,54
55,1,329,-2758.71,-2544.74,0.759,1041.204901,1,16465,55
56,1,327,-1998.8,-2535.0,0.7553,1123.426726,1,16792,56
57,1,328,-2164.14,-2528.49,0.7515,1175.400523,1,17120,57
58,1,328,-2319.05,-2524.88,0.7477,866.846373,1,17448,58
59,1,328,-2332.74,-2521.62,0.744,1127.324788,1,17776,59
60,1,330,-2546.87,-2522.04,0.7403,1247.814277,1,18106,60
61,1,328,-2087.04,-2514.91,0.7366,825.339731,1,18434,61
62,1,327,-2388.78,-2512.88,0.7329,803.249021,1,18761,62
63,1,327,-2112.68,-2506.52,0.7292,786.328529,1,19088,63
64,1,328,-2076.98,-2499.81,0.7256,979.657431,1,19416,64
65,1,328,-2166.63,-2494.69,0.7219,886.134491,1,19744,65
66,1,327,-2073.65,-2488.31,0.7183,865.836173,1,20071,66
67,1,326,-2157.51,-2483.37,0.7147,477.150748,1,20397,67
68,1,332,-2610.92,-2485.25,0.7112,508.59828,1,20729,68
69,1,321,-2298.29,-2482.54,0.7076,691.923809,1,21050,69
70,1,327,-2160.53,-2477.94,0.7041,442.404421,1,21377,70
71,1,327,-2108.16,-2472.73,0.7005,376.015554,1,21704,71
72,1,326,-2160.32,-2468.39,0.697,441.819493,1,22030,72
73,1,327,-2269.77,-2465.67,0.6936,282.793206,1,22357,73
74,1,327,-2112.83,-2460.9,0.6901,262.057669,1,22684,74
75,1,327,-2040.7,-2455.3,0.6866,341.07779,1,23011,75
76,1,329,-2056.84,-2450.05,0.6832,197.556313,1,23340,76
77,1,327,-2004.6,-2444.27,0.6798,239.053828,1,23667,77
78,1,327,-2133.55,-2440.29,0.6764,264.868716,1,23994,78
79,1,327,-2077.78,-2435.7,0.673,192.333866,1,24321,79
80,1,327,-2048.04,-2430.85,0.6696,163.89954,1,24648,80
81,1,327,-2055.23,-2426.21,0.6663,192.02576,1,24975,81
82,1,329,-2233.03,-2423.86,0.663,157.760277,1,25304,82
83,1,330,-2524.05,-2425.07,0.6597,131.06385,1,25634,83
84,1,327,-2085.85,-2421.03,0.6564,51.802183,1,25961,84
85,1,327,-2214.72,-2418.6,0.6531,135.34317,1,26288,85
86,1,328,-2127.9,-2415.22,0.6498,91.610538,1,26616,86
87,1,328,-2094.26,-2411.53,0.6466,94.95056,1,26944,87
88,1,327,-2098.26,-2407.97,0.6433,108.636905,1,27271,88
89,1,327,-2159.96,-2405.18,0.6401,122.721613,1,27598,89
90,1,327,-2155.87,-2402.41,0.6369,70.266864,1,27925,90
91,1,327,-2088.37,-2398.96,0.6337,105.824494,1,28252,91
92,1,327,-2022.7,-2394.87,0.6306,57.119269,1,28579,92
93,1,327,-2039.97,-2391.06,0.6274,100.503066,1,28906,93
94,1,328,-2146.98,-2388.46,0.6243,113.767934,1,29234,94
95,1,332,-2844.34,-2393.26,0.6211,85.432044,1,29566,95
96,1,327,-2070.04,-2389.89,0.618,84.410062,1,29893,96
97,1,327,-2089.21,-2386.79,0.6149,75.753726,1,30220,97
98,1,327,-2017.88,-2383.03,0.6119,165.389761,1,30547,98
99,1,328,-2004.42,-2379.2,0.6088,103.975607,1,30875,99
100,1,329,-2124.4,-2376.66,0.6058,98.554231,1,31204,100
101,1,327,-2084.14,-2375.44,0.6027,111.779329,1,31531,101
102,1,327,-2090.71,-2374.41,0.5997,117.015391,1,31858,102
103,1,330,-2508.99,-2373.11,0.5967,137.807853,1,32188,103
104,1,327,-2115.19,-2359.01,0.5937,127.049308,1,32515,104
105,1,327,-2054.14,-2362.41,0.5908,192.431409,1,32842,105
106,1,327,-2124.75,-2358.0,0.5878,151.447598,1,33169,106
107,1,328,-2111.32,-2358.38,0.5849,128.787552,1,33497,107
108,1,327,-2071.15,-2361.47,0.582,150.008503,1,33824,108
109,1,333,-2142.56,-2362.49,0.579,130.023926,1,34157,109
110,1,327,-2127.5,-2352.16,0.5762,154.708327,1,34484,110
111,1,327,-2424.56,-2351.49,0.5733,161.536506,1,34811,111
112,1,327,-2023.23,-2350.22,0.5704,160.239298,1,35138,112
113,1,328,-2086.57,-2333.56,0.5676,177.159581,1,35466,113
114,1,330,-2193.14,-2324.99,0.5647,184.001216,1,35796,114
115,1,328,-2005.02,-2313.26,0.5619,198.852512,1,36124,115
116,1,328,-2018.47,-2305.74,0.5591,180.934977,1,36452,116
117,1,329,-2143.61,-2293.69,0.5563,163.432856,1,36781,117
118,1,329,-2032.39,-2293.06,0.5535,191.874151,1,37110,118
119,1,328,-2126.12,-2290.09,0.5507,158.139547,1,37438,119
120,1,328,-2112.18,-2289.46,0.548,137.033357,1,37766,120
121,1,330,-2371.88,-2284.74,0.5452,161.170819,1,38096,121
122,1,327,-2025.94,-2278.83,0.5425,166.685345,1,38423,122
123,1,327,-2088.89,-2256.48,0.5398,162.91724,1,38750,123
124,1,327,-2100.25,-2248.22,0.5371,178.259223,1,39077,124
125,1,329,-2022.0,-2255.08,0.5344,190.248489,1,39406,125
126,1,327,-2137.02,-2253.95,0.5318,165.562768,1,39733,126
127,1,327,-2162.22,-2241.86,0.5291,201.646744,1,40060,127
128,1,327,-2175.83,-2239.19,0.5264,194.641354,1,40387,128
129,1,327,-2087.33,-2237.1,0.5238,183.628486,1,40714,129
130,1,328,-2044.21,-2230.85,0.5212,186.435778,1,41042,130
131,1,328,-2118.28,-2230.96,0.5186,167.248219,1,41370,131
132,1,328,-1982.39,-2224.64,0.516,189.853635,1,41698,132
133,1,327,-1987.58,-2214.69,0.5134,169.134328,1,42025,133
134,1,327,-2009.54,-2211.46,0.5108,206.365139,1,42352,134
135,1,328,-2109.41,-2215.82,0.5083,211.122719,1,42680,135
136,1,327,-2151.23,-2215.2,0.5058,161.563581,1,43007,136
137,1,329,-2083.8,-2204.99,0.5032,180.513669,1,43336,137
138,1,331,-2288.28,-2197.76,0.5007,136.591573,1,43667,138
139,1,327,-2032.05,-2197.5,0.4982,168.487815,1,43994,139
140,1,332,-2618.73,-2200.7,0.4957,158.169018,1,44326,140
141,1,328,-2231.51,-2201.71,0.4932,160.927091,1,44654,141
142,1,327,-2080.38,-2200.56,0.4908,183.10549,1,44981,142
143,1,327,-2054.52,-2187.99,0.4883,178.14623,1,45308,143
144,1,329,-2207.75,-2184.48,0.4859,157.788693,1,45637,144
145,1,328,-2149.85,-2183.91,0.4834,125.632007,1,45965,145
146,1,328,-2047.46,-2180.8,0.481,133.047363,1,46293,146
147,1,331,-2054.68,-2178.33,0.4786,148.745772,1,46624,147
148,1,329,-2123.51,-2175.03,0.4762,138.921781,1,46953,148
149,1,328,-2021.5,-2174.88,0.4738,143.376496,1,47281,149
150,1,330,-2036.92,-2170.8,0.4715,146.141507,1,47611,150
151,1,329,-2095.21,-2165.91,0.4691,184.238102,1,47940,151
152,1,330,-2051.95,-2159.35,0.4668,149.359002,1,48270,152
153,1,327,-2097.03,-2152.11,0.4644,146.522177,1,48597,153
154,1,330,-2045.79,-2149.54,0.4621,154.146738,1,48927,154
155,1,328,-2033.97,-2142.29,0.4598,119.324003,1,49255,155
156,1,330,-2033.5,-2142.64,0.4575,131.354837,1,49585,156
157,1,327,-2029.82,-2141.3,0.4552,111.260188,1,49912,157
158,1,329,-2029.47,-2138.4,0.4529,127.398341,1,50241,158
159,1,327,-2069.7,-2135.77,0.4507,142.568322,1,50568,159
160,1,327,-2021.53,-2130.52,0.4484,123.584495,1,50895,160
161,1,327,-2060.66,-2130.25,0.4462,112.804003,1,51222,161
162,1,328,-2015.63,-2126.52,0.444,115.881253,1,51550,162
163,1,327,-2043.44,-2125.83,0.4417,94.535498,1,51877,163
164,1,328,-2041.75,-2125.48,0.4395,109.022653,1,52205,164
165,1,327,-2037.73,-2124.19,0.4373,94.612114,1,52532,165
166,1,328,-2025.09,-2123.7,0.4351,89.214464,1,52860,166
167,1,330,-2126.71,-2123.39,0.433,113.84859,1,53190,167
168,1,331,-2054.08,-2117.83,0.4308,98.091561,1,53521,168
169,1,329,-2156.26,-2116.41,0.4286,80.887957,1,53850,169
170,1,328,-2030.47,-2115.1,0.4265,116.038814,1,54178,170
171,1,329,-2024.64,-2114.27,0.4244,79.67927,1,54507,171
172,1,330,-2125.3,-2113.92,0.4223,87.524018,1,54837,172
173,1,331,-2083.21,-2112.05,0.4201,93.157028,1,55168,173
