ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
1,1,328,-855.5,-855.5,0.995,0.922006,1,328,1
2,1,329,83.45,-386.03,0.99,2223.983819,1,657,2
3,1,327,-539.13,-437.06,0.9851,2203.335748,1,984,3
4,1,314,-1992.04,-825.81,0.9801,2428.271674,1,1298,4
5,1,333,-1689.05,-998.45,0.9752,2904.424663,1,1631,5
6,1,326,17.48,-829.13,0.9704,3226.18952,1,1957,6
7,1,336,-628.14,-800.42,0.9655,2398.287157,1,2293,7
8,1,328,-948.71,-818.96,0.9607,2479.038607,1,2621,8
9,1,333,-14.28,-729.55,0.9559,3001.824026,1,2954,9
10,1,331,-2137.8,-870.37,0.9511,2204.212695,1,3285,10
11,1,337,-181.61,-807.76,0.9464,2913.378914,1,3622,11
12,1,87,-1594.33,-873.31,0.9416,3799.523137,1,3709,12
13,1,256,-1847.21,-948.22,0.9369,2748.081409,1,3965,13
14,1,328,-592.15,-922.79,0.9322,3009.672229,1,4293,14
15,1,331,91.2,-855.19,0.9276,2850.90836,1,4624,15
16,1,326,-150.27,-811.13,0.9229,2743.362348,1,4950,16
17,1,312,-2622.19,-917.67,0.9183,3060.533514,1,5262,17
18,1,331,-1921.5,-973.43,0.9137,2311.654598,1,5593,18
19,1,126,-1411.75,-996.5,0.9092,2909.996959,1,5719,19
20,1,131,-1609.01,-1027.13,0.9046,2611.823871,1,5850,20
21,1,336,-120.54,-983.96,0.9001,3187.269851,1,6186,21
22,1,326,-406.89,-957.73,0.8956,2525.605138,1,6512,22
23,1,330,-46.79,-918.12,0.8911,2889.633543,1,6842,23
24,1,334,-340.29,-894.04,0.8867,2394.882753,1,7176,24
25,1,335,-416.48,-874.94,0.8822,2568.949219,1,7511,25
26,1,328,-946.8,-877.71,0.8778,2389.259928,1,7839,26
27,1,52,-1388.69,-896.63,0.8734,2689.100166,1,7891,27
28,1,327,-262.72,-873.99,0.8691,2655.29718,1,8218,28
29,1,326,-199.97,-850.75,0.8647,2885.394617,1,8544,29
30,1,326,174.24,-816.58,0.8604,2075.544003,1,8870,30
31,1,327,152.41,-785.33,0.8561,2484.773928,1,9197,31
32,1,331,130.48,-756.71,0.8518,2000.026796,1,9528,32
33,1,328,-6.23,-733.97,0.8475,2454.477281,1,9856,33
34,1,340,-905.99,-739.02,0.8433,2264.515802,1,10196,34
35,1,328,170.42,-713.04,0.8391,2700.406026,1,10524,35
36,1,336,-94.15,-695.85,0.8349,2275.603454,1,10860,36
37,1,326,-3.14,-677.13,0.8307,2059.158544,1,11186,37
38,1,327,-103.45,-662.03,0.8266,2110.232754,1,11513,38
39,1,327,39.13,-644.05,0.8224,1984.653846,1,11840,39
40,1,330,132.54,-624.64,0.8183,2787.129674,1,12170,40
41,1,326,-34.97,-610.26,0.8142,1868.661502,1,12496,41
42,1,326,-172.51,-599.83,0.8102,1814.296543,1,12822,42
43,1,70,-1348.55,-617.24,0.8061,2942.870703,1,12892,43
44,1,328,-781.34,-620.97,0.8021,2295.183485,1,13220,44
45,1,336,-986.28,-629.09,0.7981,2089.902578,1,13556,45
46,1,330,-70.0,-616.94,0.7941,1915.636838,1,13886,46
47,1,329,55.48,-602.63,0.7901,2212.509853,1,14215,47
48,1,326,-324.16,-596.83,0.7862,1861.695084,1,14541,48
49,1,328,152.73,-581.53,0.7822,1575.009679,1,14869,49
50,1,335,-769.73,-585.3,0.7783,1879.6101,1,15204,50
51,1,327,174.22,-570.4,0.7744,1940.063434,1,15531,51
52,1,328,50.44,-558.47,0.7705,1637.637404,1,15859,52
53,1,327,-463.11,-556.67,0.7667,2126.61096,1,16186,53
54,1,328,194.22,-542.76,0.7629,1430.123689,1,16514,54
55,1,329,-567.58,-543.21,0.759,1769.418962,1,16843,55
56,1,334,-50.09,-534.41,0.7553,1439.956538,1,17177,56
57,1,331,35.81,-524.4,0.7515,1409.315178,1,17508,57
58,1,47,-1193.46,-535.94,0.7477,1793.222362,1,17555,58
59,1,327,184.53,-523.73,0.744,1388.601723,1,17882,59
60,1,326,-317.9,-520.3,0.7403,1086.58253,1,18208,60
61,1,331,-119.78,-513.73,0.7366,1174.133719,1,18539,61
62,1,332,-303.05,-510.33,0.7329,1385.892766,1,18871,62
