ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes,spawn,crash_sector
1,1,216,-24.62,-24.62,0.999,0.0,1,216,1,"(-2.9,-2.0)",front
2,1,86,-729.93,-377.27,0.998,0.0,1,302,2,"(1.0,-1.0)",front
3,1,87,-740.81,-498.45,0.997,0.0,1,389,3,"(1.0,-1.0)",front
4,1,86,-729.59,-556.24,0.996,0.0,1,475,4,"(1.0,-1.0)",front
5,1,86,-726.72,-590.33,0.995,0.0,1,561,5,"(1.0,-1.0)",front
6,1,216,-8.95,-493.44,0.994,0.0,1,777,6,"(-2.9,-2.0)",front
7,1,217,-11.25,-424.55,0.993,0.0,1,994,7,"(-2.9,-2.0)",front
8,1,86,-725.7,-462.2,0.992,0.0,1,1080,8,"(1.0,-1.0)",front
9,1,86,-725.76,-491.48,0.991,0.0,1,1166,9,"(1.0,-1.0)",front
10,1,86,-728.92,-515.23,0.99,0.0,1,1252,10,"(1.0,-1.0)",front
11,1,216,-4.28,-468.78,0.9891,0.0,1,1468,11,"(-2.9,-2.0)",front
12,1,216,-37.44,-432.83,0.9881,0.0,1,1684,12,"(-2.9,-2.0)",front
13,1,216,-12.93,-400.53,0.9871,0.0,1,1900,13,"(-2.9,-2.0)",front
14,1,86,-728.65,-423.97,0.9861,0.0,1,1986,14,"(1.0,-1.0)",front
15,1,87,-733.43,-444.6,0.9851,0.0,1,2073,15,"(1.0,-1.0)",front
16,1,86,-730.21,-462.45,0.9841,0.0,1,2159,16,"(1.0,-1.0)",front
17,1,216,-18.26,-436.32,0.9831,0.0,1,2375,17,"(-2.9,-2.0)",front
18,1,86,-730.11,-452.64,0.9822,0.0,1,2461,18,"(1.0,-1.0)",front
19,1,86,-725.41,-467.0,0.9812,0.0,1,2547,19,"(1.0,-1.0)",front
20,1,216,-6.15,-443.96,0.9802,0.0,1,2763,20,"(-2.9,-2.0)",front
21,1,87,-730.59,-457.61,0.9792,0.0,1,2850,21,"(1.0,-1.0)",front
22,1,216,-15.86,-437.53,0.9782,0.0,1,3066,22,"(-2.9,-2.0)",front
23,1,216,-12.13,-419.03,0.9773,0.0,1,3282,23,"(-2.9,-2.0)",front
24,1,216,-12.44,-402.09,0.9763,0.0,1,3498,24,"(-2.9,-2.0)",front
25,1,216,-15.63,-386.63,0.9753,0.0,1,3714,25,"(-2.9,-2.0)",front
26,1,86,-726.1,-399.69,0.9743,0.0,1,3800,26,"(1.0,-1.0)",front
27,1,217,-3.8,-385.03,0.9733,0.0,1,4017,27,"(-2.9,-2.0)",front
28,1,86,-728.59,-397.3,0.9724,0.0,1,4103,28,"(1.0,-1.0)",front
